BCH_NO	INVSPL_CD	INDVROLETP_CD	TRANS_CD	CORPINDV_CD	DEDTRANS_NO	DT	ISSUE_PRCAL_PAY_NO	FR_PRCAL_PAY_NO	TO_PRCAL_PAY_NO	AMT	CHQTP_CD	PAY_REVS_IND	ORIG_TRANS_CD	GL_CD	MISACCT_CD	ORG_CD	THPTY_CD	BONDANNCAMP_EFFYR	INDV_ID
11		E	C473  	I	221	1/1/2023 0:00				90.00	1	0	C473  						478472
11		E	C473  	I	222	1/1/2023 0:00				90.00	1	0	C473  						486575
11		E	C473  	I	223	1/1/2023 0:00				90.00	1	0	C473  						487656
11		E	C473  	I	224	1/1/2023 0:00				90.00	1	0	C473  						478706
11		E	C473  	I	225	1/1/2023 0:00				90.00	1	0	C473  						480531
11		E	C473  	I	226	1/1/2023 0:00				90.00	1	0	C473  						533143
11		E	C473  	I	227	1/1/2023 0:00				90.00	1	0	C473  						481865
11		E	C473  	I	228	1/1/2023 0:00				90.00	1	0	C473  						534860
11		E	C473  	I	229	1/1/2023 0:00				90.00	1	0	C473  						488401
11		E	C473  	I	230	1/1/2023 0:00				90.00	1	0	C473  						535438
11		E	C473  	I	231	1/1/2023 0:00				90.00	1	0	C473  						259085
11		E	C473  	I	232	1/1/2023 0:00				90.00	1	0	C473  						499381
11		E	C473  	I	233	1/1/2023 0:00				90.00	1	0	C473  						498883
11		E	C473  	I	234	1/1/2023 0:00				90.00	1	0	C473  						61861
11		E	C473  	I	235	1/1/2023 0:00				90.00	1	0	C473  						478160
11		E	C473  	I	236	1/1/2023 0:00				90.00	1	0	C473  						483140
11		E	C473  	I	237	1/1/2023 0:00				90.00	1	0	C473  						526725
11		E	C473  	I	238	1/1/2023 0:00				90.00	1	0	C473  						528841
11		E	C473  	I	239	1/1/2023 0:00				90.00	1	0	C473  						501629
11		E	C473  	I	240	1/1/2023 0:00				90.00	1	0	C473  						528135
11		E	C473  	I	241	1/1/2023 0:00				90.00	1	0	C473  						423150
11		E	C473  	I	242	1/1/2023 0:00				90.00	1	0	C473  						505720
11		E	C473  	I	243	1/1/2023 0:00				90.00	1	0	C473  						526715
11		E	C473  	I	244	1/1/2023 0:00				90.00	1	0	C473  						79970
11		E	C473  	I	245	1/1/2023 0:00				90.00	1	0	C473  						485590
11		E	C473  	I	246	1/1/2023 0:00				90.00	1	0	C473  						488196
11		E	C473  	I	247	1/1/2023 0:00				90.00	1	0	C473  						497432
11		E	C473  	I	248	1/1/2023 0:00				90.00	1	0	C473  						475163
11		E	C473  	I	249	1/1/2023 0:00				90.00	1	0	C473  						474240
11		E	C473  	I	250	1/1/2023 0:00				90.00	1	0	C473  						536281
11		E	C473  	I	251	1/1/2023 0:00				90.00	1	0	C473  						536047
11		E	C473  	I	252	1/1/2023 0:00				90.00	1	0	C473  						527031
11		E	C473  	I	253	1/1/2023 0:00				90.00	1	0	C473  						531020
11		E	C473  	I	254	1/1/2023 0:00				90.00	1	0	C473  						485090
11		E	C473  	I	255	1/1/2023 0:00				90.00	1	0	C473  						475700
11		E	C473  	I	256	1/1/2023 0:00				90.00	1	0	C473  						534668
11		E	C473  	I	257	1/1/2023 0:00				90.00	1	0	C473  						534313
11		E	C473  	I	258	1/1/2023 0:00				90.00	1	0	C473  						384965
11		E	C473  	I	259	1/1/2023 0:00				90.00	1	0	C473  						534596
11		E	C473  	I	260	1/1/2023 0:00				90.00	1	0	C473  						530835
11		E	C473  	I	261	1/1/2023 0:00				90.00	1	0	C473  						533267
11		E	C473  	I	262	1/1/2023 0:00				90.00	1	0	C473  						511072
11		E	C473  	I	263	1/1/2023 0:00				90.00	1	0	C473  						527151
