INDV_ID	AMT
501559	200
501578	200
501629	90
514085	90
514132	200
536719	200
501684	90
501736	200
490381	200
490537	200
490620	200
490649	90
490708	200
514428	200
65052	200
65144	200
66613	200
67264	200
67322	200
70946	200
71407	200
72488	200
73817	200
55228	200
55517	200
55871	200
57174	200
57273	200
58115	200
58453	200
58875	200
59667	200
536857	90
490817	200
320113	200
321146	200
324356	200
216240	200
267752	90
268050	200
269970	200
270324	200
147570	200
148184	200
153585	200
153601	200
153626	200
534860	90
504826	200
340175	200
340478	200
340760	200
341250	200
342226	200
342737	200
343466	200
344250	200
344620	200
479498	90
479503	90
479612	90
479697	90
479750	90
479786	90
479813	90
479873	90
479880	0
479926	200
517618	90
517777	200
517801	200
517802	200
524520	0
524737	90
524792	200
524830	90
524849	90
522744	200
527031	90
527102	200
527151	90
527250	200
511333	200
511434	200
511443	200
511498	200
511589	90
528810	200
528841	90
528847	200
528918	90
531129	200
507857	200
508035	200
508072	200
508142	200
216976	200
217911	200
218361	200
220410	200
220546	200
220868	200
325584	200
159680	200
159716	200
162320	200
162403	200
162703	200
272075	200
272408	200
272645	200
274493	200
495993	200
496040	200
496085	200
496109	90
496200	200
496235	200
499381	90
499448	200
499453	200
450044	200
451281	200
451835	200
345962	200
517999	0
518028	200
518090	200
518214	90
524904	90
524935	90
525052	200
525075	200
525082	200
525105	200
525115	200
525117	200
525151	200
527274	200
522912	200
522926	200
523008	90
523058	200
528956	200
529013	200
529021	90
529025	200
529059	200
533143	90
508273	90
531158	90
531189	90
531278	200
325673	200
325832	200
326100	200
328970	200
330193	200
222098	200
222804	200
276260	200
163726	200
167093	200
167273	200
167926	200
499528	200
499616	200
499744	90
535016	90
535020	200
504922	200
504949	200
347956	200
348137	200
348164	200
348613	200
349460	200
349718	200
349886	200
454994	200
455274	200
518242	200
518337	200
518415	200
518422	200
525167	200
525199	90
525227	90
525253	200
525413	200
525450	0
527434	200
527613	200
527616	200
533267	90
533355	200
533403	200
511654	200
511803	200
531316	90
508345	90
223440	200
224081	200
224100	200
224563	200
226196	200
226576	200
227517	200
330596	200
331223	200
331640	200
331898	200
332023	200
168227	-200
168390	200
169794	200
171803	200
278402	200
278866	200
278907	200
283031	200
504997	90
505202	200
382391	250
383241	200
383716	200
384965	90
384983	200
385046	200
456750	200
459106	200
349988	200
350490	200
350514	200
351226	200
353450	200
518617	90
518679	200
518871	200
525472	200
525516	200
525536	90
525385	200
523209	90
511866	200
511870	200
511944	200
529102	200
529162	90
529164	200
529249	200
509171	200
